,Unnamed: 0,State,District,Persons,Males,Females,Growth (1991 - 2001),Rural,Urban,Scheduled Caste population,Percentage - SC to total,Number of households,Household size (per household),Sex ratio (females per 1000 males),Sex ratio (0-6 years),Scheduled Tribe population,Percentage to total population (ST),Persons- literate,Males- Literate,Females- Literate,Persons- literacy rate,Males- Literatacy Rate,Females- Literacy Rate,Total Educated,Data without level,Below Primary,Primary,Middle,Matric/Higher Secondary/Diploma,Graduate and Above,0 - 4 years,5 - 14 years,15 - 59 years,60 years and above (Incl. A.N.S.),Total workers,Main workers,Marginal workers,Non-workers,SC#1 Name,SC#1 Population,SC#2 Name,SC#2 Population,SC#3 Name,SC#3 Population,Religeon#1 Name,Religeon#1 Population,Religeon#2 Name,Religeon#2 Population,Religeon#3 Name,Religeon#3 Population,ST#1 Name,ST#1 Population,ST#2 Name,ST#2 Population,ST#3 Name,ST#3 Population,Imp Town#1 Name,Imp Town#1 Population,Imp Town#2 Name,Imp Town#2 Population,Imp Town#3 Name,Imp Town#3 Population,Total Inhabited Villages,Drinking water facilities,Safe Drinking water,Electricity (Power Supply),Electricity (domestic),Electricity (Agriculture),Primary school,Middle schools,Secondary/Sr Secondary schools,College,Medical facility,Primary Health Centre,Primary Health Sub-Centre,"Post, telegraph and telephone facility",Bus services,Paved approach road,Mud approach road,Permanent House,Semi-permanent House,Temporary House
0,1,Gujarat,"District Kachchh (01), Gujarat (24)",1583225.0,815152.0,768073.0,20.9,1108333,474892,185932,11.74,320588.0,5.0,942.0,921.0,130138,8.22,794483.0,480555.0,313928.0,59.79,70.39,48.59,794483.0,12438.0,253685.0,250155.0,104847.0,140506.0,32699.0,176916.0,381035.0,911521.0,113753.0,605599.0,498186.0,107413.0,977626.0,1.Meghval etc.,129621.0,2.Mahyavansi etc.,24064.0,3.Bhambi etc.,10315.0,1.Hindus,1223254.0,2.Muslims,329254.0,3.Jains,23894.0,1.Koli,95655,2.Vaghri,16974,3.Bhil etc.,7937,1.Gandhidham (M),151693.0,2.Bhuj (M),98528.0,3.Anjar (M),68343.0,886.0,886.0,882.0,863.0,61,21,835.0,-,105,-,672,45,170,616.0,841.0,688.0,336,83.4,9.0,7.5
1,2,Gujarat,"District Banas Kantha (02), Gujarat (24)",2504244.0,1297404.0,1206840.0,26.31,2228743,275501,271484,10.84,426781.0,6.0,930.0,906.0,205904,8.22,1037619.0,699080.0,338539.0,50.97,66.47,34.4,1037619.0,13753.0,424367.0,308578.0,112479.0,153151.0,24897.0,326948.0,668902.0,1365463.0,142931.0,1092201.0,830579.0,261622.0,1412043.0,1.Bhambi etc.,158332.0,2.Bhangi etc.,39435.0,3.Mahyavansi etc.,33884.0,1.Hindus,2314123.0,2.Muslims,170142.0,3.Jains,18544.0,1.Bhil etc.,203077,2.Generic Tribes etc.,1830,3.Padhar,185,1.Palanpur (M),110419.0,2.Deesa (M),83382.0,3.Tharad (M),22815.0,1244.0,1242.0,1233.0,1225.0,328,197,1217.0,-,198,4,523,61,252,954.0,1114.0,1066.0,729,49.3,38.8,11.9
2,3,Gujarat,District Patan,1182709.0,612100.0,570609.0,14.08,944281,238428,116879,9.88,222630.0,5.0,932.0,865.0,12637,1.07,599082.0,375588.0,223494.0,60.36,73.63,46.33,599082.0,5885.0,215489.0,165823.0,69614.0,121119.0,21088.0,132514.0,276327.0,686947.0,86921.0,533078.0,395470.0,137608.0,649631.0,1.Bhambi etc.,53851.0,2.Mahyavansi etc.,31292.0,3.Bhangi etc.,17401.0,1.Hindus,1057013.0,2.Muslims,119748.0,3.Jains,5136.0,1.Bhil etc.,11516,2.Generic Tribes etc.,361,3.Bavacha etc.,309,1.Patan (M),112219.0,2.Sidhpur (M),53858.0,3.Radhanpur (M),32191.0,517.0,516.0,513.0,517.0,9,2,514.0,-,127,6,265,28,208,454.0,485.0,478.0,86,63.7,29.3,7.0
3,4,Gujarat,"District Mahesana (04), Gujarat (24)",1837892.0,953842.0,884050.0,12.04,1426175,411717,148597,8.09,364447.0,5.0,927.0,800.0,8975,0.49,1188224.0,698626.0,489598.0,75.22,86.2,63.65,1188224.0,9603.0,345067.0,306412.0,160453.0,309309.0,56891.0,179056.0,399174.0,1114802.0,144860.0,828519.0,665080.0,163439.0,1009373.0,1.Bhambi etc.,50431.0,2.Mahyavansi etc.,46335.0,3.Senva etc.,26782.0,1.Hindus,1714171.0,2.Muslims,113631.0,3.Jains,7122.0,1.Bhil etc.,6532,2.Patelia,872,3.Generic Tribes etc.,403,1.Mahesana (M),99880.0,2.Visnagar (M),65826.0,3.Kadi (M),56240.0,593.0,593.0,593.0,593.0,3,3,589.0,-,276,5,440,47,272,546.0,593.0,560.0,258,74.6,21.0,4.3
4,5,Gujarat,"District Sabar Kantha (05), Gujarat (24)",2082531.0,1069554.0,1012977.0,18.3,1857402,225129,173325,8.32,399847.0,5.0,947.0,879.0,420242,20.18,1171555.0,721203.0,450352.0,66.65,80.42,52.3,1171555.0,13244.0,299309.0,296151.0,176084.0,332201.0,53757.0,230011.0,470303.0,1231509.0,150708.0,940437.0,662249.0,278188.0,1142094.0,1.Bhambi etc.,66546.0,2.Mahyavansi etc.,63639.0,3.Senva etc.,15929.0,1.Hindus,1946780.0,2.Muslims,117806.0,3.Jains,11198.0,1.Bhil etc.,406356,2.Generic Tribes etc.,6176,3.Naikda etc.,4556,1.Himatnagar (M),56464.0,2.Modasa (M),54135.0,3.Idar (M),29002.0,1372.0,1370.0,1368.0,1358.0,187,163,1362.0,-,544,20,784,69,361,1070.0,1338.0,1162.0,763,44.3,44.6,11.1
5,6,Gujarat,"District Gandhinagar (06), Gujarat (24)",1334455.0,697999.0,636456.0,23.88,867195,467260,115955,8.69,269440.0,5.0,912.0,813.0,17681,1.32,879834.0,522575.0,357259.0,76.59,87.74,64.58,879834.0,5710.0,221042.0,214072.0,136174.0,231335.0,71259.0,130223.0,286936.0,830197.0,87099.0,554336.0,467413.0,86923.0,780119.0,1.Mahyavansi etc.,46606.0,2.Bhambi etc.,40603.0,3.Bhangi etc.,12857.0,1.Hindus,1269766.0,2.Muslims,50559.0,3.Jains,7769.0,1.Bhil etc.,11674,2.Generic Tribes etc.,1271,3.Naikda etc.,867,1.Gandhinagar (NAC),195985.0,2.Kalol (M),100008.0,3.Chandkheda (M),55504.0,291.0,291.0,291.0,291.0,14,14,290.0,-,177,5,244,23,129,261.0,286.0,283.0,154,70.9,24.4,4.7
6,7,Gujarat,"District Ahmadabad (07), Gujarat (24)",5816519.0,3074556.0,2741963.0,26.61,1152986,4663533,620765,10.67,1150588.0,5.0,892.0,835.0,58035,1.0,4012140.0,2318295.0,1693845.0,79.5,87.31,70.83,4012140.0,34840.0,816251.0,963479.0,602259.0,1113922.0,479990.0,531956.0,1210381.0,3680817.0,393365.0,2009365.0,1799126.0,210239.0,3807154.0,1.Mahyavansi etc.,289988.0,2.Bhambi etc.,171544.0,3.Bhangi etc.,87391.0,1.Hindus,4921747.0,2.Muslims,662799.0,3.Jains,170093.0,1.Bhil etc.,33055,2.Padhar,9603,3.Generic Tribes etc.,5639,1.Ahmadabad (M Corp.),3520085.0,2.Vejalpur (M),113445.0,3.Ghatlodiya (M),106684.0,546.0,546.0,542.0,546.0,61,20,542.0,-,156,-,428,35,181,488.0,539.0,540.0,197,82.9,14.1,3.0
7,8,Gujarat,"District Surendranagar (08), Gujarat (24)",1515148.0,787650.0,727498.0,25.34,1112700,402448,166211,10.97,277667.0,5.0,924.0,886.0,14338,0.95,781155.0,487094.0,294061.0,61.61,74.19,48.1,781155.0,7798.0,260586.0,231369.0,119782.0,132242.0,29293.0,173263.0,359042.0,870590.0,112253.0,647609.0,512038.0,135571.0,867539.0,1.Mahyavansi etc.,83092.0,2.Bhambi etc.,51060.0,3.Bhangi etc.,14289.0,1.Hindus,1392451.0,2.Muslims,97846.0,3.Jains,22721.0,1.Padhar,10916,2.Bhil etc.,2133,3.Generic Tribes etc.,363,1.Surendranagar Dudhrej (M),156161.0,2.Dhrangadhra (M),70663.0,3.Wadhwan (M),61752.0,650.0,649.0,649.0,650.0,2,-,648.0,-,111,2,170,30,136,443.0,599.0,478.0,172,67.9,23.4,8.7
8,9,Gujarat,"District Rajkot (09), Gujarat (24)",3169881.0,1642018.0,1527863.0,25.6,1544019,1625862,244364,7.71,597990.0,5.0,930.0,854.0,13163,0.42,2033946.0,1166122.0,867824.0,74.16,82.61,65.2,2033946.0,19339.0,489497.0,561231.0,341580.0,492263.0,129543.0,297863.0,679812.0,1942470.0,249736.0,1244806.0,1076436.0,168370.0,1925075.0,1.Mahyavansi etc.,134846.0,2.Bhambi etc.,73355.0,3.Bhangi etc.,20445.0,1.Hindus,2841302.0,2.Muslims,292676.0,3.Jains,30629.0,1.Bhil etc.,7776,2.Patelia,2287,3.Generic Tribes etc.,1100,1.Rajkot (M Corp.),967476.0,2.Morvi (M),145719.0,3.Jetpur Navagadh (M),104312.0,844.0,844.0,844.0,844.0,99,78,842.0,-,214,1,542,58,341,723.0,830.0,690.0,483,85.6,13.1,1.3
9,10,Gujarat,"District Jamnagar (10), Gujarat (24)",1904278.0,981320.0,922958.0,22.39,1068022,836256,154819,8.13,350105.0,5.0,941.0,898.0,10459,0.55,1083696.0,638101.0,445595.0,66.48,76.25,56.18,1083696.0,14273.0,307824.0,317584.0,178293.0,207926.0,57566.0,192652.0,422410.0,1139780.0,149436.0,734382.0,624057.0,110325.0,1169896.0,1.Mahyavansi etc.,83370.0,2.Bhambi etc.,35152.0,3.Meghval etc.,15716.0,1.Hindus,1605941.0,2.Muslims,270223.0,3.Jains,21907.0,1.Rabari,3821,2.Bhil etc.,2063,3.Siddi,1305,1.Jamnagar (M Corp.),443518.0,2.Navagam Ghed (M),39500.0,3.Khambhalia (M),36479.0,698.0,695.0,694.0,666.0,21,7,666.0,-,134,3,286,32,212,541.0,626.0,452.0,424,87.5,10.6,1.8
