,Persons,Males,Females,Number of households,Males- Literate,Females- Literate,Total Educated,Below Primary,Primary,Middle,Matric/Higher Secondary/Diploma,Graduate and Above,0 - 4 years,5 - 14 years,15 - 59 years,60 years and above (Incl. A.N.S.),Total workers,Main workers,Non-workers,Religeon#1 Population,Imp Town#2 Population,Imp Town#3 Population,Persons- literate
0,1583225.0,815152.0,768073.0,320588.0,480555.0,313928.0,794483.0,253685.0,250155.0,104847.0,140506.0,32699.0,176916.0,381035.0,911521.0,113753.0,605599.0,498186.0,977626.0,1223254.0,98528.0,68343.0,794483.0
1,2504244.0,1297404.0,1206840.0,426781.0,699080.0,338539.0,1037619.0,424367.0,308578.0,112479.0,153151.0,24897.0,326948.0,668902.0,1365463.0,142931.0,1092201.0,830579.0,1412043.0,2314123.0,83382.0,22815.0,1037619.0
2,1182709.0,612100.0,570609.0,222630.0,375588.0,223494.0,599082.0,215489.0,165823.0,69614.0,121119.0,21088.0,132514.0,276327.0,686947.0,86921.0,533078.0,395470.0,649631.0,1057013.0,53858.0,32191.0,599082.0
3,1837892.0,953842.0,884050.0,364447.0,698626.0,489598.0,1188224.0,345067.0,306412.0,160453.0,309309.0,56891.0,179056.0,399174.0,1114802.0,144860.0,828519.0,665080.0,1009373.0,1714171.0,65826.0,56240.0,1188224.0
4,2082531.0,1069554.0,1012977.0,399847.0,721203.0,450352.0,1171555.0,299309.0,296151.0,176084.0,332201.0,53757.0,230011.0,470303.0,1231509.0,150708.0,940437.0,662249.0,1142094.0,1946780.0,54135.0,29002.0,1171555.0
5,1334455.0,697999.0,636456.0,269440.0,522575.0,357259.0,879834.0,221042.0,214072.0,136174.0,231335.0,71259.0,130223.0,286936.0,830197.0,87099.0,554336.0,467413.0,780119.0,1269766.0,100008.0,55504.0,879834.0
6,5816519.0,3074556.0,2741963.0,1150588.0,2318295.0,1693845.0,4012140.0,816251.0,963479.0,602259.0,1113922.0,479990.0,531956.0,1210381.0,3680817.0,393365.0,2009365.0,1799126.0,3807154.0,4921747.0,113445.0,106684.0,4012140.0
7,1515148.0,787650.0,727498.0,277667.0,487094.0,294061.0,781155.0,260586.0,231369.0,119782.0,132242.0,29293.0,173263.0,359042.0,870590.0,112253.0,647609.0,512038.0,867539.0,1392451.0,70663.0,61752.0,781155.0
8,3169881.0,1642018.0,1527863.0,597990.0,1166122.0,867824.0,2033946.0,489497.0,561231.0,341580.0,492263.0,129543.0,297863.0,679812.0,1942470.0,249736.0,1244806.0,1076436.0,1925075.0,2841302.0,145719.0,104312.0,2033946.0
9,1904278.0,981320.0,922958.0,350105.0,638101.0,445595.0,1083696.0,307824.0,317584.0,178293.0,207926.0,57566.0,192652.0,422410.0,1139780.0,149436.0,734382.0,624057.0,1169896.0,1605941.0,39500.0,36479.0,1083696.0
10,536835.0,275821.0,261014.0,105893.0,184717.0,131455.0,316172.0,86630.0,91944.0,58461.0,63064.0,13007.0,54019.0,114022.0,325681.0,43113.0,215134.0,173594.0,321701.0,507176.0,38526.0,24199.0,316172.0
11,2448173.0,1252350.0,1195823.0,432884.0,833064.0,575814.0,1408878.0,396444.0,397552.0,245044.0,293642.0,60977.0,260017.0,556596.0,1447209.0,184351.0,1000842.0,785530.0,1447331.0,2165734.0,141357.0,63257.0,1408878.0
12,1393918.0,701593.0,692325.0,248677.0,456025.0,333953.0,789978.0,272031.0,255693.0,100584.0,133486.0,20031.0,136207.0,333411.0,800409.0,123891.0,600819.0,470043.0,793099.0,1307460.0,73774.0,32395.0,789978.0
13,2469630.0,1274920.0,1194710.0,426001.0,828080.0,540840.0,1368920.0,451513.0,447754.0,176531.0,217579.0,57987.0,276315.0,617608.0,1392303.0,183404.0,944559.0,781166.0,1525071.0,2264062.0,100194.0,70756.0,1368920.0
14,1856872.0,972000.0,884872.0,360808.0,717909.0,475495.0,1193404.0,323092.0,328052.0,163168.0,299294.0,71226.0,178990.0,392524.0,1150704.0,134654.0,784711.0,617669.0,1072161.0,1616127.0,80452.0,56548.0,1193404.0
15,2024216.0,1052823.0,971393.0,395493.0,769426.0,473937.0,1243363.0,351172.0,343682.0,180020.0,299712.0,56489.0,207619.0,433219.0,1231913.0,151465.0,908180.0,694400.0,1116036.0,1775214.0,43950.0,36101.0,1243363.0
16,2025277.0,1044937.0,980340.0,360862.0,659346.0,366489.0,1025835.0,302434.0,276113.0,156973.0,239821.0,37261.0,243351.0,489499.0,1147811.0,144616.0,976726.0,616885.0,1048551.0,1897034.0,41115.0,33369.0,1025835.0
17,1636433.0,824208.0,812225.0,244009.0,385340.0,202734.0,588074.0,194817.0,145165.0,87404.0,130333.0,20770.0,237608.0,444558.0,864462.0,89805.0,814590.0,496410.0,821843.0,1571017.0,25095.0,19202.0,588074.0
18,3641802.0,1897368.0,1744434.0,739276.0,1309347.0,918661.0,2228008.0,544745.0,532329.0,314118.0,596035.0,219863.0,343856.0,760663.0,2277521.0,259762.0,1518845.0,1202620.0,2122957.0,3258593.0,54952.0,35923.0,2228008.0
19,514404.0,263986.0,250418.0,104038.0,161092.0,98380.0,259472.0,88671.0,72778.0,39196.0,47023.0,8831.0,56690.0,121680.0,299481.0,36553.0,259116.0,176372.0,255288.0,482552.0,12703.0,4480.0,259472.0
20,1370656.0,713676.0,656980.0,282677.0,508240.0,367279.0,875519.0,245062.0,242665.0,125810.0,203903.0,49957.0,136360.0,298528.0,838899.0,96869.0,570693.0,469551.0,799963.0,1059796.0,67569.0,38778.0,875519.0
21,4995174.0,2722539.0,2272635.0,1027843.0,1914423.0,1291981.0,3206404.0,749869.0,897529.0,499495.0,847536.0,189593.0,488467.0,1040002.0,3201010.0,265695.0,2182509.0,1981266.0,2812665.0,4350795.0,2433835.0,51946.0,3206404.0
